Region;Gene
EGL;NA
EGL;NA
EGL;NA
EGL;NA
PCL;PMCH
PCL;CASQ2
PCL;WLS
PCL;RBM20
PCL;IL20RA
PCL;SEMA3A
PCL;TMPRSS15
PCL;B3GALTL
PCL;STEAP1
PCL;SLC2A2
PCL;IRF6
PCL;UNC5D
PCL;OVCH1
PCL;CERS3
PCL;STK17B
PCL;METTL21C
PCL;LMO7DN
PCL;VWDE
PCL;TDRD6
PCL;SLC26A5
PCL;STRIP2
PCL;CNTN3
PCL;THBS4
PCL;MYPN
PCL;AGBL1
PCL;HLA-DRA
PCL;TLR2
PCL;ARG1
PCL;CNTN6
PCL;KCNMA1
PCL;WEE2
PCL;PAXIP1OS
PCL;CACNG5
PCL;GDF5
PCL;GIPC2
PCL;BAAT
PCL;DGKG
PCL;ZNF208
PCL;SUPT20HL2
PCL;ZDHHC23
PCL;NEXN
PCL;ANKRD2
PCL;FOXP2
PCL;IGF1
PCL;TPTE2P6
PCL;PCP2
PCL;SNORD114-1
PCL;ADAMTS3
PCL;PRSS22
PCL;ELOVL7
PCL;SEC14L6
PCL;FAM196B
PCL;GUCY2D
PCL;CDH3
PCL;EPHA4
PCL;KCNIP4
PCL;DHRS2
PCL;TMEM154
PCL;AKAP7
PCL;RAB3C
PCL;COX7A1
PCL;TRPC3
PCL;C2CD4A
PCL;PVALB
PCL;MAST4
PCL;SLC35F4
PCL;SLC5A10
PCL;KIAA1107
PCL;DCDC2C
PCL;SNORD114-20
PCL;SNORD114-28
PCL;IL12RB2
PCL;NRK
PCL;PROCR
PCL;CD8B
PCL;ARHGEF33
PCL;GABRA1
PCL;DLG2
PCL;SNORD114-21
PCL;MCTP2
PCL;AMY2A
PCL;ITPKA
PCL;PCOLCE2
PCL;CCDC33
PCL;SNORD113-4
PCL;ARAP2
PCL;FGL2
PCL;CADM2
PCL;IL31RA
PCL;UGT3A2
PCL;SDR42E1
PCL;COL6A6
PCL;EBF2
PCL;M1AP
PCL;CFTR
PCL;CDH10
PCL;SMPX
PCL;RORA
PCL;HCG4
PCL;MFAP5
PCL;CDH9
PCL;RYR1
PCL;FABP12
PCL;SPOCK3
PCL;CDS1
PCL;TLL2
PCL;CRISP2
PCL;CORIN
PCL;RDH12
PCL;SEMA3E
PCL;NGFR
PCL;AMDHD1
PCL;ZNF385C
PCL;MGAT4C
PCL;PLEKHD1
PCL;BSPH1
PCL;PRKCG
